State,Population,AreaInSqKm,DensityPerSqKm
Andhra Pradesh,49386799,162968,303
Arunachal Pradesh,1382611,14525,321
West Bengal,91347736,88752,1029
Uttarakhand,10116752,53483,189
Uttar Pradesh,199812341,240928,828
Tripura,3671032,10486,350
Telangana,35286757,114840,307
Tamil Nadu,72138958,130058,555
Sikkim,607688,7096,86
Rajasthan,68621012,342239,201
Punjab,27704236,50362,550
Odisha,41947358,155707,269
Nagaland,1980602,16579,119
Mizoram,1091014,21081,52
Meghalaya,2964007,22429,132
Manipur,2721756,22327,122
Maharashta,112372972,307713,365
Madhya Pradesh,72597565,308245,236
Kerala,33387677,38863,859
Karnataka,61130704,191791,319
Jharkhand,32966238,79714,414
Jammu and Kashmir,12548926,222236,57
Himachal Pradesh,6864602,55673,123
Haryana,25353081,44212,573
Gujarat,60383628,196024,308
Goa,1457723,3702,394
Chattisgarh,25540196,135191,189
Bihar,103804637,94163,1102
Assam,31169272,78438,397
